Date,Draw_ID,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_6
2017-10-25,00198,12,17,23,25,34,38
2017-10-27,00199,4,10,13,21,22,38
2017-10-29,00200,1,5,28,31,44,45
2017-11-01,00201,4,12,25,39,42,44
2017-11-03,00202,7,17,20,22,29,44
2017-11-05,00203,3,17,38,39,41,44
2017-11-08,00204,1,18,23,24,40,41
2017-11-10,00205,1,4,19,21,24,35
2017-11-12,00206,22,26,37,40,42,44
2017-11-15,00207,1,9,15,27,33,43
2017-11-17,00208,11,13,18,19,31,45
2017-11-19,00209,14,20,30,33,41,43
2017-11-22,00210,5,6,9,23,27,35
2017-11-24,00211,14,24,32,34,36,45
2017-11-26,00212,4,12,17,19,23,34
2017-11-29,00213,19,23,26,37,38,41
2017-12-01,00214,10,19,30,35,39,45
2017-12-03,00215,8,9,15,18,27,30
2017-12-06,00216,3,7,29,31,34,43
2017-12-08,00217,2,11,15,32,40,44
2017-12-10,00218,27,36,39,43,44,45
2017-12-13,00219,4,7,19,24,32,38
2017-12-15,00220,13,14,17,24,28,43
2017-12-17,00221,4,7,16,27,40,41
2017-12-20,00222,3,8,25,37,40,42
2017-12-22,00223,9,13,17,22,26,33
2017-12-24,00224,1,5,9,14,30,31
2017-12-27,00225,9,13,19,21,27,30
2017-12-29,00226,2,8,17,20,29,39
2017-12-31,00227,3,13,14,26,30,34
2018-01-03,00228,8,14,19,30,33,35
2018-01-05,00229,19,30,34,38,42,44
2018-01-07,00230,4,6,11,13,24,31
2018-01-10,00231,6,18,21,22,37,45
2018-01-12,00232,4,8,17,23,27,34
2018-01-14,00233,1,6,10,29,32,41
2018-01-17,00234,9,10,12,22,27,41
2018-01-19,00235,2,4,27,28,31,36
2018-01-21,00236,1,10,11,24,32,37
2018-01-24,00237,5,6,24,33,42,45
2018-01-26,00238,1,9,18,28,36,44
2018-01-28,00239,12,26,27,33,36,37
2018-01-31,00240,4,7,9,10,30,40
2018-02-02,00241,2,7,14,28,42,45
2018-02-04,00242,1,5,13,27,40,45
2018-02-07,00243,5,7,18,26,30,36
2018-02-09,00244,2,10,14,19,23,37
2018-02-11,00245,5,19,27,32,41,45
2018-02-14,00246,12,31,32,34,35,43
2018-02-18,00247,1,5,14,16,36,38
2018-02-21,00248,18,23,24,26,29,33
2018-02-23,00249,5,16,19,23,29,37
2018-02-25,00250,8,10,12,29,30,42
2018-02-28,00251,17,19,21,23,36,40
2018-03-02,00252,3,7,15,27,41,45
2018-03-04,00253,4,11,19,25,32,40
2018-03-07,00254,8,19,25,31,37,40
2018-03-09,00255,5,10,13,19,25,44
2018-03-11,00256,1,14,19,26,41,42
2018-03-14,00257,12,21,23,27,31,34
2018-03-16,00258,6,8,13,17,20,34
2018-03-18,00259,14,21,24,28,31,40
2018-03-21,00260,6,19,38,40,41,44
2018-03-23,00261,3,6,12,22,26,35
2018-03-25,00262,4,10,13,22,38,42
2018-03-28,00263,12,18,31,34,35,42
2018-03-30,00264,7,11,18,28,34,43
2018-04-01,00265,4,12,24,33,39,43
2018-04-04,00266,2,3,6,16,41,44
2018-04-06,00267,1,7,8,9,36,40
2018-04-08,00268,2,5,11,16,30,34
2018-04-11,00269,7,20,23,25,26,39
2018-04-13,00270,11,22,24,33,38,43
2018-04-15,00271,3,9,13,20,30,34
2018-04-18,00272,6,16,28,29,39,44
2018-04-20,00273,6,9,14,30,33,42
2018-04-22,00274,6,7,22,32,36,39
2018-04-25,00275,4,15,17,23,29,43
2018-04-27,00276,10,20,24,27,28,29
2018-04-29,00277,3,10,22,23,25,43
2018-05-02,00278,10,11,22,29,37,40
2018-05-04,00279,9,18,25,26,27,29
2018-05-06,00280,11,26,28,34,36,37
2018-05-09,00281,9,15,20,30,31,33
2018-05-11,00282,10,11,26,29,33,38
2018-05-13,00283,6,11,16,18,27,41
2018-05-16,00284,10,21,23,25,35,38
2018-05-18,00285,3,18,24,29,30,35
2018-05-20,00286,18,19,25,26,29,39
2018-05-23,00287,13,16,25,34,37,41
2018-05-25,00288,5,14,22,26,29,39
2018-05-27,00289,5,9,17,18,19,22
2018-05-30,00290,2,17,19,27,31,36
2018-06-01,00291,6,14,19,38,43,44
2018-06-03,00292,18,20,24,40,42,45
2018-06-06,00293,6,20,22,26,43,44
2018-06-08,00294,4,13,32,35,40,42
2018-06-10,00295,22,25,35,36,38,39
2018-06-13,00296,2,4,17,24,31,40
2018-06-15,00297,8,11,13,23,24,28
2018-06-17,00298,3,5,6,7,34,40
2018-06-20,00299,2,18,22,30,32,43
2018-06-22,00300,15,19,20,26,34,39
2018-06-24,00301,6,8,23,32,33,41
2018-06-27,00302,25,27,29,33,37,38
2018-06-29,00303,6,18,22,24,36,39
2018-07-01,00304,4,7,15,28,34,37
2018-07-04,00305,2,3,27,28,34,43
2018-07-06,00306,22,26,33,34,38,42
2018-07-08,00307,2,7,8,10,28,44
2018-07-11,00308,12,26,28,29,39,43
2018-07-13,00309,3,8,9,25,27,28
2018-07-15,00310,7,15,20,29,31,38
2018-07-18,00311,8,10,14,19,26,34
2018-07-20,00312,13,14,16,19,20,23
2018-07-22,00313,8,9,24,27,40,45
2018-07-25,00314,9,16,18,38,41,45
2018-07-27,00315,2,21,32,37,38,42
2018-07-29,00316,26,31,32,37,43,45
2018-08-01,00317,5,6,29,30,37,38
2018-08-03,00318,3,8,10,24,27,28
2018-08-05,00319,7,10,18,31,39,43
2018-08-08,00320,19,34,37,39,41,44
2018-08-10,00321,18,22,24,29,41,45
2018-08-12,00322,5,16,17,28,31,38
2018-08-15,00323,12,24,25,33,40,44
2018-08-17,00324,3,8,22,28,33,42
2018-08-19,00325,16,18,28,36,37,45
2018-08-22,00326,15,17,18,33,34,44
2018-08-24,00327,3,22,25,29,33,40
2018-08-26,00328,1,3,11,12,22,36
2018-08-29,00329,16,17,24,28,30,36
2018-08-31,00330,11,19,30,36,38,40
2018-09-02,00331,10,12,13,22,26,40
2018-09-05,00332,5,6,22,27,34,37
2018-09-07,00333,8,10,11,28,42,45
2018-09-09,00334,8,14,18,21,44,45
2018-09-12,00335,11,12,13,16,29,31
2018-09-14,00336,12,16,17,18,26,34
2018-09-16,00337,3,13,17,18,23,34
2018-09-19,00338,10,20,22,24,27,42
2018-09-21,00339,1,3,11,14,23,29
2018-09-23,00340,18,27,32,35,41,44
2018-09-26,00341,12,19,27,39,42,45
2018-09-28,00342,2,6,11,13,15,38
2018-09-30,00343,1,20,24,36,43,45
2018-10-03,00344,6,12,19,21,25,45
2018-10-05,00345,4,12,17,29,35,44
2018-10-07,00346,14,18,31,34,39,44
2018-10-10,00347,18,19,22,28,41,42
2018-10-12,00348,11,12,20,26,28,42
2018-10-14,00349,7,8,9,34,40,43
2018-10-17,00350,1,12,14,36,39,43
2018-10-19,00351,2,14,30,38,39,45
2018-10-21,00352,6,22,24,28,30,37
2018-10-24,00353,6,26,34,35,39,42
2018-10-26,00354,2,18,31,33,36,41
2018-10-28,00355,9,18,19,20,31,45
2018-10-31,00356,17,22,26,30,33,35
2018-11-02,00357,4,6,11,18,24,25
2018-11-04,00358,7,12,13,17,25,30
2018-11-07,00359,6,18,22,25,31,37
2018-11-09,00360,6,18,28,32,34,35
2018-11-11,00361,20,23,26,27,32,34
2018-11-14,00362,12,14,24,26,30,40
2018-11-16,00363,4,12,18,21,25,41
2018-11-18,00364,6,27,28,30,37,44
2018-11-21,00365,7,9,16,19,24,33
2018-11-23,00366,8,10,12,21,25,40
2018-11-25,00367,3,5,11,18,24,29
2018-11-28,00368,8,13,20,21,25,28
2018-11-30,00369,11,18,23,25,28,35
2018-12-02,00370,2,4,12,23,37,45
2018-12-05,00371,7,28,29,39,42,45
2018-12-07,00372,1,6,7,22,31,39
2018-12-09,00373,6,8,26,34,40,41
2018-12-12,00374,1,3,11,15,27,30
2018-12-14,00375,7,16,20,26,30,34
2018-12-16,00376,1,14,22,26,35,42
2018-12-19,00377,2,10,11,32,40,44
2018-12-21,00378,1,7,16,27,29,34
2018-12-23,00379,1,3,10,11,16,44
2018-12-26,00380,21,28,34,35,41,44
2018-12-28,00381,3,22,24,25,31,37
2018-12-30,00382,10,19,31,35,42,44
2019-01-02,00383,4,14,32,35,36,40
2019-01-04,00384,1,8,14,16,19,22
2019-01-06,00385,9,22,33,34,35,44
2019-01-09,00386,17,27,28,30,33,41
2019-01-11,00387,19,21,22,23,25,44
2019-01-13,00388,1,20,21,23,26,33
2019-01-16,00389,1,8,14,24,31,40
2019-01-18,00390,12,15,19,38,40,45
2019-01-20,00391,8,16,21,31,35,38
2019-01-23,00392,2,9,13,29,33,40
2019-01-25,00393,11,13,14,22,30,38
2019-01-27,00394,9,11,12,22,27,29
2019-01-30,00395,1,4,6,13,37,41
2019-02-01,00396,3,4,6,38,39,43
2019-02-03,00397,1,2,5,9,23,24
2019-02-06,00398,22,24,25,30,33,38
2019-02-08,00399,11,12,33,36,39,43
2019-02-10,00400,1,11,17,25,29,35
2019-02-13,00401,5,11,18,33,37,41
2019-02-15,00402,3,22,26,27,30,44
2019-02-17,00403,11,12,14,25,29,31
2019-02-20,00404,1,10,15,24,37,45
2019-02-22,00405,7,10,18,25,44,45
2019-02-24,00406,1,7,13,23,32,42
2019-02-27,00407,5,12,15,16,25,35
2019-03-01,00408,15,23,29,31,38,43
2019-03-03,00409,1,13,17,20,30,45
2019-03-06,00410,2,7,14,24,40,41
